"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Hubbardiidae","Hubbardiinae","†11207","†11207","male","2+1","Absent","3 pairs","Absent","No data","No data","Present","Weakly","0.5","0.6","Absent","No data","No data","2 setae","Absent","Well-developed","Conical",NA,NA,NA,"Reverse rectangular - polygonal","2.1800000000000002","2.1800000000000002","1.26","1.26","> 90°","2.2599999999999998","2.2599999999999998","No data","Myanmar","Southeast Asia","Cretaceous","Müller et al. 202X"
"Hubbardiidae","Hubbardiinae","†Annazomus","†Annazomus parvulus","male","No data","Absent","3 pairs","Absent","Entire","No data","No data","No data","0.5","0.6","No data","No data","No data","2 setae","Absent","Well-developed","Truncate",NA,NA,NA,"Reverse rectangular","1.95","1.95","1.37","1.37","~ 90°","2.65","2.65","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Calcoschizomus","†Calcoschizomus latisternum","female","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","Tergite (I)X-XI(I) elongated","No data","No data","No data","No data","No data",NA,"14","14","No data","No data","< 90°","No data","No data","No data","USA","North America","Pliocene","Pierce 1951"
"Hubbardiidae","Hubbardiinae","†Cretacezomus","†Cretacezomus angustocaudatus","male","2+1","Absent","4 pairs","True eyes","Entire","No data","Present","Strongly","No data","No data","No data","No data","No data","2 setae","Absent","No data","No data",NA,NA,NA,"Oblong","3","3","No data","No data","~ 90°","3.1","3.1","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Cretacezomus","†Cretacezomus robustus","male","2+1","Absent","4 pairs","True eyes","Entire","No data","Present","No data","0.5","0.6","No data","No data","No data","2 setae","Absent","Small","Rounded",NA,NA,NA,"Circular","2.86","2.86","1.29","1.29","~ 90°","2.76","2.76","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Groehnizomus","†Groehnizomus oculiferans","male","No data","Single","No data","True eyes","Divided","Sexual dimorphism + heteromorphism ","Present","Weakly; absent","0.33","0.33","No data","No data","No data","2 setae","Absent","Small","Truncate",NA,NA,NA,"Rhomboidal - triangular","2.56","2.56","1.54","1.54","~ 90°","2.75","3.4","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Groehnizomus","†Groehnizomus rodrigoi","male","1+2","Single","4 pairs","True eyes","Entire","No data","Present","No data","0.5","0.6","No data","No data","No data","2 setae","Absent","No data","No data",NA,NA,NA,"Circular","2.72","2.72","1.76","1.76","~ 90°","3.27","3.27","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Mesozomus","†Mesozomus groehni","male","1+2","Single","3 pairs","True eyes","Suture","No data","No data","Weakly","0.4","0.5","No data","Absent","2 small teeth","No data","Absent","Absent","Absent",NA,NA,NA,"Oblong","2.65","2.65","No data","No data","~ 90°","2.1","2.1","No data","Myanmar","Southeast Asia","Cretaceous","Müller et al. 2019; De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Muellerizomus","†Muellerizomus amandae","female","1+2","Single","3 pairs","Absent","Suture","No data","Present","No data","No data","No data","No data","No data","No data","2 setae","Absent","Absent","Absent","No data","No data","4 flagellomeres",NA,"2.35","2.35","1.01","1.01","~ 90°","2.76","2.76","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
"Hubbardiidae","Hubbardiinae","†Muellerizomus","†Muellerizomus amandae","male","1+2","Single","3 pairs","Absent","No data","No data","Present","No data","0.5","0.6","No data","No data","No data","2 setae","Absent","Well-developed","Acute",NA,NA,NA,"Circular","1.83","1.83","1.42","1.42","~ 90°","2.71","2.71","No data","Myanmar ","Southeast Asia","Cretaceous","De Francesco Magnussen et al. 2022"
